,Dataset,Thresold,Sequence,Kappa,F1_score
198,94_m_We,3,anatomical,0.35481003997746235,0.2666666666666667
199,94_m_We,3,structural,-0.2237762237762244,0.0
200,94_m_We,3,functional,-0.053610406606580764,0.25641025641025644
201,94_r_Fr,3,anatomical,0.27978956403350363,0.034482758620689655
202,94_r_Fr,3,structural,-0.1057981266854249,0.2105263157894737
203,94_r_Fr,3,functional,,
204,94_r_We,3,anatomical,-0.01052009456264832,0.0
205,94_r_We,3,structural,-0.12973074750517824,0.5
206,94_r_We,3,functional,0.11179775280898588,0.0
207,117c_m_Ri,4,anatomical,,
208,117c_m_Ri,4,structural,0.1616586538461539,0.0
209,117c_m_Ri,4,functional,0.24075275794938333,0.0
210,117_m_Ra,4,anatomical,0.3777250077857366,0.0
211,117_m_Ra,4,structural,0.6327683615819212,0.0
212,117_m_Ra,4,functional,0.29911955514365113,0.0
213,117_m_Vr,4,anatomical,0.05000000000000301,0.0
214,117_m_Vr,4,structural,,
215,117_m_Vr,4,functional,0.3274485077763765,0.0
216,164_m_Ku,4,anatomical,0.2827147360957629,0.09302325581395349
217,164_m_Ku,4,structural,0.4021942985746432,0.5
218,164_m_Ku,4,functional,,
219,7_h_He,4,anatomical,0.6666666666666666,0.0
220,7_h_He,4,structural,,
221,7_h_He,4,functional,0.1815476190476196,0.0
222,7_m_Bo,4,anatomical,-0.023462783171520524,0.0
223,7_m_Bo,4,structural,0.3781213983864777,0.0
224,7_m_Bo,4,functional,,
225,7_m_Br,4,anatomical,-0.05905006418485236,0.0
226,7_m_Br,4,structural,-0.0647619047619051,0.0
227,7_m_Br,4,functional,,
228,7_m_Ca,4,anatomical,,
229,7_m_Ca,4,structural,0.012345679012345146,0.0
230,7_m_Ca,4,functional,,
231,7_m_Lo,4,anatomical,0.3274061343204649,0.0
232,7_m_Lo,4,structural,0.4762145748987855,0.0
233,7_m_Lo,4,functional,,
234,7_m_Mi,4,anatomical,0.3794174341400731,0.0
